precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,cantidad_de_cocheras,cantidad_de_toiletes,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,lavavajillas,quincho,sum,sauna,termotanque,vigilancia,ascensor,caja_fuerte,internet,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,acceso_movilidad_reducida,provincia,limpieza_de_ropa,equipamiento_de_cocina,disposicion_Contrafrente,disposicion_Frente,disposicion_Interno,disposicion_Lateral,orientacion_E,orientacion_N,orientacion_NE,orientacion_NO,orientacion_O,orientacion_S,orientacion_SE,orientacion_SO,luminosidad_Luminoso,luminosidad_Muy luminoso,luminosidad_Poco luminoso,estado_general_Bueno,estado_general_Excelente,estado_general_Muy bueno,precio_m2,precio_m2_medio_localidad,precio_medio_localidad,precio_m2_medio_provincia,precio_medio_provincia
290,35,Ambrosio Olmos  600 1°,"Nueva Córdoba, Córdoba",45,42,2,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.444444444444445,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,31,brasil 178,"Nueva Córdoba, Córdoba",40,40,2,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,0,Oportunidad Única A Pocos Metros DEL Parque Sarmiento,"Nueva Córdoba, Córdoba",52,52,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.576923076923077,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,40,Alquilo - 1 Dorm. Nueva Cordoba,"Nueva Córdoba, Córdoba",47,47,2,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.170212765957447,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,55,Buenos Aires 578,"Nueva Córdoba, Córdoba",50,50,2,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,0,Oportunidad Cerca DE LA Terminal DE Colectivos!!!,"Nueva Córdoba, Córdoba",43,43,2,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.744186046511628,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,70,Angelo de Peredo 0,"Nueva Córdoba, Córdoba",55,55,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2727272727272725,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,0,Estrada ,"Nueva Córdoba, Córdoba",45,40,2,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,Cordoba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.444444444444445,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,57,Bv. Illia 375,"Nueva Córdoba, Córdoba",40,40,2,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,30,Larrañaga 53,"Nueva Córdoba, Córdoba",40,40,2,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.25,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,53,Bv Illia  300,"Nueva Córdoba, Córdoba",42,42,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.904761904761905,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,0,Tránsito Cáceres de Allende 472,"Nueva Córdoba, Córdoba",45,45,2,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.444444444444445,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,46,Buenos Aires 1376,"Nueva Córdoba, Córdoba",52,46,2,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.576923076923077,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,25,Poeta Lugones 94,"Nueva Córdoba, Córdoba",40,35,2,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.25,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,67,PUEYRREDON 151,"Nueva Córdoba, Córdoba",45,45,3,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.444444444444445,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,65,Illia 362,"Nueva Córdoba, Córdoba",40,40,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.25,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,60,Av. Ambrosio Olmos 658,"Nueva Córdoba, Córdoba",55,48,2,1,1,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.2727272727272725,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,50,Alquiler Dpto 1 Dorm B° Nueva Córdoba (ideal Estudiante),"Nueva Córdoba, Córdoba",40,40,3,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.25,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,30,Bv Poniente Umberto Arturo Illia 400,"Nueva Córdoba, Córdoba",50,50,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0.0,1,0,0,0,0,1,1,0,0,0,0,0,Cordoba,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.8,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
290,53,Poeta Lugones 230,"Nueva Córdoba, Córdoba",40,40,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
285,60,Paraná,"Nueva Córdoba, Córdoba",40,40,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,Cordoba,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7.125,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
285,60,Córdoba,"Nueva Córdoba, Córdoba",40,40,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,Cordoba,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7.125,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
285,38,parana 353,"Nueva Córdoba, Córdoba",45,45,3,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.333333333333333,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
280,0,Chacabuco al 600,"Nueva Córdoba, Córdoba",40,40,2,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
280,62,ACHAVAL Rodríguez 67,"Nueva Córdoba, Córdoba",50,42,2,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
280,40,Rondeau  500 7°,"Nueva Córdoba, Córdoba",40,40,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
280,0,San Lorenzo 438 7,"Nueva Córdoba, Córdoba",45,45,4,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.222222222222222,6.376461369502651,346.10474308300394,5.403151893237961,495.8189111747851
