precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
USD 16.000,,Martín Coronado al 3300,"Barrio Parque, Palermo",270,270,5,3,3,A estrenar,,,Muy luminoso,3,1,,,,,,True,True,,,,,,,True,True,,,True,,,,True,,True,True,True,,True,,True,,True,,True,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 16.000,,Azucena Villaflor 500,"Puerto Madero, Capital Federal",310,310,5,4,4,A estrenar,Frente,,Muy luminoso,2,1,,True,True,,,True,,,,,,,True,True,True,,,True,,True,True,True,,True,True,True,,True,,,,True,True,True,,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 16.000,,Chateau Puerto Madero - 5 Ambientes + Dependencia - 350m²,"Puerto Madero, Capital Federal",350,,5,4,4,10 años,,,Muy luminoso,2,1,,True,,True,,True,True,,,,,,True,True,True,,,True,True,,,True,,,True,True,,True,,,,True,,True,,True,True,True,,True,,Ciudad Autonoma de Buenos Aires
USD 16.000,,Forum Alcorta,"Belgrano, Capital Federal",650,,6,5,5,5 años,Frente,,Muy luminoso,,1,,True,True,True,,,True,,,,,,True,True,True,,,True,,,,True,,True,True,True,,True,,,,True,True,True,True,True,,True,,True,,Ciudad Autonoma de Buenos Aires
USD 15.410, $ 212.000,Azucena Villaflor 500,"Puerto Madero, Capital Federal",350,340,5,4,4,2 años,Frente,NO,,1,1,,True,,,,True,True,,,,,,,True,,,,True,,,,True,,True,,True,,,,,,True,,,,True,True,,,,,Ciudad Autonoma de Buenos Aires
USD 15.410,,Alvear Tower - 6 Ambientes + Dependencia - 365 m²,"Puerto Madero, Capital Federal",360,340,6,4,5,5 años,,,Muy luminoso,1,2,,True,,,,True,True,,,,,,True,True,True,,,True,True,,,True,,True,True,True,,True,,,,True,True,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 15.400,,Azucena Villaflor al 500,"Puerto Madero, Capital Federal",350,350,4,3,3,A estrenar,Frente,,Muy luminoso,2,1,,True,,,,True,,,,,,,True,True,True,,,True,,True,True,True,,True,True,True,,True,,,,True,True,True,,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 15.000,,Julieta Lanteri al 1300,"Puerto Madero, Capital Federal",270,270,6,4,4,17 años,Frente,E,Muy luminoso,2,1,,,,,,,,,,,,,,True,True,,,,,,True,True,,True,True,True,,True,,,,True,True,,,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 15.000,,Departamento en Venta y en Alquiler en Recoleta Posadas al 1600,"Recoleta, Capital Federal",480,480,10,3,4,A estrenar,Frente,NE,Muy luminoso,2,,,True,True,,,True,,,,,,,,,,,,True,,,True,,,True,True,True,,True,,,,,,,True,,True,,,,,Ciudad Autonoma de Buenos Aires
USD 15.000,,Torre Le Parc. Demaria  al 4500,"Palermo, Capital Federal",400,390,5,3,4,A estrenar,,,,2,1,,,,,,,,,,,,,True,True,,,,,,,,True,,True,True,True,,True,,,,True,,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 15.000, $ 296.000,Chateau -  Piso Altisimo - 5 Ambientes -2 Cocheras - Amoblado - Puerto Madero,"Puerto Madero, Capital Federal",270,270,5,,4,10 años,Frente,E,Muy luminoso,2,1,,True,,True,,True,True,,,,,,True,True,True,,,True,True,,,True,,,True,True,,True,,,,True,True,,,True,True,True,,True,,Ciudad Autonoma de Buenos Aires
USD 15.000, $ 520.000,Alvear Tower  - 5 Ambientes - 435m² Totales - Con Terraza y Pileta Propia - Cocheras y Muy Luminoso - Puerto Madero,"Puerto Madero, Capital Federal",430,310,5,3,4,4 años,Frente,NO,Muy luminoso,3,1,,True,,,,,True,,,,,,,True,True,,,True,True,,,True,,True,True,True,,True,,,,True,True,True,,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 15.000, $ 800.000,Azucena Villaflor 559 Puerto Madero Capital Federal Argentina.,"Puerto Madero, Capital Federal",420,300,6,5,4,A estrenar,,,Muy luminoso,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 15.000,,Azucena Villaflor 500 CABA,"Puerto Madero, Capital Federal",430,300,5,4,4,2 años,Frente,NE,Muy luminoso,3,1,,True,,,,True,True,True,,,,,,True,True,,,True,True,,True,True,,True,True,True,,True,,True,,True,True,True,True,True,True,True,,,True,Ciudad Autonoma de Buenos Aires
USD 15.000, $ 1,El Faro - Azucena Villaflor al 600,"Puerto Madero, Capital Federal",420,420,5,5,4,15 años,Frente,NE,Muy luminoso,4,1,,,,,,,True,,,,,,,True,True,,,True,True,,,,,,,True,,True,,,,True,,,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 13.800, $ 412.000,Alvear Tower - 4 Ambientes- 235m² - 2 Cocheras - Pileta Privada,"Puerto Madero, Capital Federal",230,220,4,3,3,4 años,Frente,N,Muy luminoso,2,1,,True,,,,,,,,,,,True,True,True,,,True,True,,,True,,True,True,True,,True,,True,,True,True,,True,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 13.000, $ 400.000,Ramsay al 2000,"Belgrano, Capital Federal",650,650,7,6,4,6 años,Frente,NE,Muy luminoso,4,1,,True,,True,,True,True,,,,,,True,True,True,,,True,,,,True,,True,True,True,,True,True,True,,True,True,True,True,True,,True,,True,,Ciudad Autonoma de Buenos Aires
USD 12.320, $ 148.000,Azucena Villaflor 500,"Puerto Madero, Capital Federal",240,240,4,3,3,2 años,,NO,,1,1,,True,,,,True,True,,,,,,,True,,,,True,,,,,,True,True,True,,,,,,True,,,,True,True,,,,,Ciudad Autonoma de Buenos Aires
USD 12.180,,Azucena Villaflor al 500,"Puerto Madero, Capital Federal",250,250,4,3,3,A estrenar,Frente,,,1,1,,True,,True,,True,True,True,True,,,True,True,True,True,,,True,,True,True,True,True,True,True,True,,True,,,,True,True,True,,True,,True,,True,,Ciudad Autonoma de Buenos Aires
USD 3.850.000, $ 1.990.000,Demaría 4500,"Palermo, Capital Federal",400,390,4,6,3,25 años,,,Muy luminoso,3,1,,True,,,,True,True,,,,,,,True,True,,,True,,,,True,,True,True,,,,,,,True,True,True,True,True,True,True,,,True,Ciudad Autonoma de Buenos Aires
USD 12.000, $ 1.900.000,Demaria 4550,"Palermo, Capital Federal",380,380,6,5,3,27 años,,NE,Muy luminoso,3,1,,True,,,,True,True,,,,,,,True,True,,,True,,,,,,True,True,True,,True,,,,True,True,True,,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 12.000,,Salguero al 3000,"Palermo Chico, Palermo",530,280,5,3,3,12 años,Frente,E,Muy luminoso,1,1,,True,True,True,True,True,,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,,True,,True,,True,True,True,True,True,True,True,,True,True,Ciudad Autonoma de Buenos Aires
USD 12.000, $ 220.000,Ramsay 2000 - Torre Forum Alcorta,"Belgrano, Capital Federal",400,380,7,5,5,14 años,Frente,NE,Muy luminoso,4,1,,True,,,,True,True,,,,,,True,True,True,,,True,True,,,True,,True,True,True,,True,,True,,True,True,True,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 12.000, $ 1.111,SLS  4 Ambientes  - 184m²,"Puerto Madero, Capital Federal",180,140,4,4,3,2 años,Frente,O,Muy luminoso,2,1,,True,,True,,,True,,,,,,,True,True,,,True,True,,True,True,,True,True,True,,True,,True,,True,True,True,,True,,True,,True,,Ciudad Autonoma de Buenos Aires
USD 12.000, $ 1,Alvear Tower  4 Ambientes - 3 Dormitorios + Dependencia - 250 m² -  Piso Altìsimo - Puerto Madero,"Puerto Madero, Capital Federal",250,240,4,3,3,4 años,,,Muy luminoso,2,1,,True,,,,,True,,,,,,True,True,True,,,True,True,,,True,,True,,True,,True,,,,True,True,,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 12.000,,Av. Figueroa Alcorta al 3000,"Palermo Chico, Palermo",740,440,7,4,4,60 años,Frente,,Muy luminoso,1,,,,,,,True,,,,,,,True,,True,,,True,,,,True,,True,True,True,,True,,True,,,,True,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 11.570, $ 700.000,Azucena Villaflor 550,"Puerto Madero, Capital Federal",250,230,4,3,3,A estrenar,,SO,,,1,,True,,,,,,,,,,,,,,,,,,,,,,True,True,,,True,,,True,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 11.500, $ 1.200.000,Ramsay 2025,"Belgrano, Capital Federal",750,550,5,4,4,3 años,Frente,E,Muy luminoso,4,1,,True,,,True,True,,,,,,,True,True,True,,,True,,,True,True,,True,True,True,,True,,True,,True,True,True,,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 3.800.000, $ 990.000,Demaría 4500,"Palermo Chico, Palermo",400,390,5,6,4,22 años,,,Muy luminoso,3,1,,True,,,,True,True,,,,,,,True,True,,,True,,,,True,,True,True,,,,,,,True,True,True,,True,True,True,,,True,Ciudad Autonoma de Buenos Aires
USD 11.000,,Demaria al 4500,"Palermo Nuevo, Palermo",400,400,5,4,3,A estrenar,,,,3,1,,,,,,,,,,,,,True,True,,,,,,,,True,,True,True,,,True,,,,True,,True,,True,True,,,,,Ciudad Autonoma de Buenos Aires
USD 11.000, $ 500.000,Demaria Al  4500,"Palermo Chico, Palermo",400,400,4,4,3,,,,,6,,,,,True,,,,,,,,,,True,True,,,True,,,,True,,,,,,,,,,,True,True,,True,,True,,True,,Ciudad Autonoma de Buenos Aires
USD 11.000,,Avenida Figueroa Alcorta al 3500,"Palermo Chico, Palermo",320,310,6,5,4,10 años,Frente,NE,Muy luminoso,3,1,,True,,,,True,,,,,,,True,True,True,,,True,,,,True,,True,True,True,,True,True,True,,True,True,,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 11.000, $ 55.000,Torre LE Parc Alcorta 4 Ambientes,"Palermo, Capital Federal",310,300,4,2,3,A estrenar,Frente,NO,Muy luminoso,2,1,,True,,,,,,,,,,,True,True,True,,,True,,,,,,True,,True,,True,,,,True,,,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 11.000, $ 110.000,Avenida Figueroa Alcorta al 3500 Torre Le Parc Alcorta,"Palermo Chico, Palermo",320,300,4,4,3,10 años,Frente,NE,Muy luminoso,4,1,,True,,,,True,,,,,,,True,True,True,,,True,,,,True,,True,True,True,,True,True,True,,True,True,,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 10.000, $ 1.500.000,Av. Libertador  al 4400,"Las Cañitas, Palermo",400,400,7,4,4,20 años,Frente,NE,Muy luminoso,3,1,,True,,,,True,,,,,,,True,True,,,,True,,,,True,,,True,True,,True,,,,True,,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 10.000, $ 600.000,Adolfo Bioy Casares al 2000,"Recoleta, Capital Federal",380,360,7,3,4,80 años,Frente,NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 10.000,,Av Libertador al 4400,"Palermo, Capital Federal",400,,7,4,4,A estrenar,,,Muy luminoso,3,1,,True,,,,True,,,,,,,,True,,,,True,,,True,True,,True,True,True,,True,,,,True,True,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 10.000,,Bioy Casares  al 2000,"Recoleta, Capital Federal",380,380,7,4,4,80 años,,,Muy luminoso,1,1,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 10.000,,Olga Cossettini ,"Puerto Madero, Capital Federal",300,300,4,3,2,5 años,,,Muy luminoso,,,,True,,,,True,,True,,,,,,True,,,,True,True,,,True,,True,,True,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 10.000,,Forum Alcorta,"Belgrano, Capital Federal",350,350,6,5,4,A estrenar,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,True,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 10.000, $ 500.000,Castañeda al 2000,"Belgrano, Capital Federal",360,360,5,3,4,8 años,Frente,E,,2,1,,,,,,,,,,,,,True,True,True,,,,,,,,,,True,True,,True,,True,,,,True,,,,True,,,,Ciudad Autonoma de Buenos Aires
USD 10.000,,Juana Manso 1700,"Puerto Madero, Capital Federal",250,250,4,3,3,4 años,Frente,,Muy luminoso,2,1,,True,True,True,,True,True,True,True,True,,True,True,True,True,,,True,,True,True,True,,True,True,True,,True,,,,True,True,True,,True,True,True,,True,,Ciudad Autonoma de Buenos Aires
