localidad,provincia,precio_m2_medio,precio_m2_cubierto_medio,precio_medio,precio_m2_medio_prov,precio_m2_cubierto_medio_prov
"Abasto, Rosario",Santa Fe,4.688728507535508,5.088600277021505,1930.6040579710145,21.379865753914114,24.108624119867923
"Alberdi, Rosario",Santa Fe,4.928571325492323,5.62015966402934,1930.6040579710145,21.379865753914114,24.108624119867923
"Alta Córdoba, Córdoba",Cordoba,5.156989420410854,5.863091804826858,5245.6845846290535,27.030736901891288,28.70833224234921
"Alto Alberdi, Córdoba",Cordoba,12.299430248107655,12.889559644203388,5245.6845846290535,27.030736901891288,28.70833224234921
"Argüello, Córdoba",Cordoba,3.938487645600405,5.3415742294174775,5245.6845846290535,27.030736901891288,28.70833224234921
"Bahía Grande, Nordelta",Zona Note (GBA),14.478552084878105,16.004399350153047,20690.408720379146,50.08966522696906,397.94240157641303
"Barrancas del Lago, Nordelta",Zona Note (GBA),5.54094772752554,7.87025665934774,20690.408720379146,50.08966522696906,397.94240157641303
"Barrio El Aljibe, Manzanares",Zona Note (GBA),4.226521028834272,6.718136504709516,20690.408720379146,50.08966522696906,397.94240157641303
"Bella Vista, San Miguel",Zona Note (GBA),4.35380005508351,7.944668093117287,20690.408720379146,50.08966522696906,397.94240157641303
"Bernal Este, Quilmes",Zona Sur (GBA),6.247875145378117,6.857270360785988,15966.021593447505,205.8341571193392,428.3166232419916
"Centro Ciudad, Salta",Salta,6.537097621376638,7.86497696736347,6330.440476190476,6.800978982750696,23.205552494869316
"Centro, Córdoba",Cordoba,16.287287129648963,16.83114722207957,5245.6845846290535,27.030736901891288,28.70833224234921
"Chumamaya Country Club, Villa Merlo",San Luis,1.0240540558475342,1.0240540558475342,5433.225806451613,110.88659668802855,111.30334909377696
"City Bell, La Plata",Zona Sur (GBA),6.031572518431399,8.12769527835798,15966.021593447505,205.8341571193392,428.3166232419916
"Ciudad de Santa Fe, Santa Fe",Santa Fe,5.15108209067673,5.860058228231969,1930.6040579710145,21.379865753914114,24.108624119867923
"Ciudadela, Tres de Febrero",Zona Oeste (GBA),6.705224568610136,7.166618517835556,8036.966795366795,326.18953727018226,345.5260697825962
"Cofico, Córdoba",Cordoba,5.815681183550829,5.995305562831554,5245.6845846290535,27.030736901891288,28.70833224234921
