provincia,localidad,cantidad_de_ambiente,precio_medio,precio_m2_cubierto_medio_localidad,precio_m2_cubierto_medio_prov
Cordoba,"Nueva Córdoba, Córdoba",3,394.8538461538462,9.006700382005445,16.418871854486028
Cordoba,"Nueva Córdoba, Córdoba",1,383.3125,43.1899256294835,16.418871854486028
Cordoba,"Nueva Córdoba, Córdoba",5,502.8125,5.980934672697273,16.418871854486028
Cordoba,"Nueva Córdoba, Córdoba",6,615.3846153846154,6.118870274686108,16.418871854486028
Cordoba,"Nueva Córdoba, Córdoba",10,1550.0,5.181977113795296,16.418871854486028
Cordoba,"Nueva Córdoba, Córdoba",7,538.0,6.884411884411884,16.418871854486028
Zona Sur (GBA),"Nuevo Quilmes, Don Bosco",6,3833.3333333333335,10.291666666666666,18.825498964718964
Zona Sur (GBA),"Nuevo Quilmes, Don Bosco",4,3000.0,19.608778625954198,18.825498964718964
Zona Sur (GBA),"Nuevo Quilmes, Don Bosco",5,2500.0,14.534883720930232,18.825498964718964
Zona Sur (GBA),"Nuevo Quilmes, Don Bosco",3,852.0,12.776875574070031,18.825498964718964
Zona Sur (GBA),"Nuevo Quilmes, Don Bosco",2,666.6666666666666,14.541910331384017,18.825498964718964
Cordoba,"Observatorio, Córdoba",1,123.33333333333333,1.4755970924195223,16.418871854486028
Cordoba,"Observatorio, Córdoba",2,236.0,5.440385154061625,16.418871854486028
Cordoba,"Observatorio, Córdoba",3,358.75,4.397990204240204,16.418871854486028
Cordoba,"Observatorio, Córdoba",4,520.0,4.532002348796242,16.418871854486028
Zona Norte (GBA),"Olivos Golf Club, Ingeniero Pablo Nogués",8,9500.0,16.8141592920354,12.133321183116772
Zona Norte (GBA),"Olivos Golf Club, Ingeniero Pablo Nogués",12,6200.0,10.973451327433628,12.133321183116772
Zona Norte (GBA),"Olivos Golf Club, Ingeniero Pablo Nogués",9,2500.0,6.665335817584953,12.133321183116772
Zona Norte (GBA),"Olivos Golf Club, Ingeniero Pablo Nogués",4,1900.0,7.818930041152264,12.133321183116772
Zona Norte (GBA),"Olivos Golf Club, Ingeniero Pablo Nogués",5,950.0,4.460093896713615,12.133321183116772
Zona Norte (GBA),"Olivos, Vicente López",4,1956.25,14.024792441438862,12.133321183116772
Zona Norte (GBA),"Olivos, Vicente López",3,1071.7391304347825,13.858131097034793,12.133321183116772
Zona Norte (GBA),"Olivos, Vicente López",6,2087.5,8.589639502721136,12.133321183116772
Zona Norte (GBA),"Olivos, Vicente López",2,656.0714285714286,14.146594052440664,12.133321183116772
Zona Norte (GBA),"Olivos, Vicente López",1,515.0,15.460983362391202,12.133321183116772
Zona Norte (GBA),"Olivos, Vicente López",5,4225.0,16.881681500687744,12.133321183116772
Cordoba,"Oncativo, Córdoba",2,403.3333333333333,5.314794077392062,16.418871854486028
Cordoba,"Oncativo, Córdoba",5,250.0,3.5714285714285716,16.418871854486028
Cordoba,"Oncativo, Córdoba",7,450.0,3.103448275862069,16.418871854486028
Cordoba,"Oncativo, Córdoba",3,911.0,6.507142857142857,16.418871854486028
Zona Norte (GBA),"Panorama, Nordelta",3,860.0,12.551643192488262,12.133321183116772
Zona Norte (GBA),"Panorama, Nordelta",2,533.3333333333334,11.851851851851853,12.133321183116772
Zona Oeste (GBA),"Parque Leloir, Ituzaingó",4,2100.0,7.73391812865497,18.996720884600585
Zona Oeste (GBA),"Parque Leloir, Ituzaingó",7,3000.0,5.172413793103448,18.996720884600585
Zona Oeste (GBA),"Parque Leloir, Ituzaingó",5,1625.0,7.390491452991453,18.996720884600585
Santa Fe,"Pichincha, Rosario",1,619.1666666666666,6.49894703505986,8.711410816835214
Santa Fe,"Pichincha, Rosario",2,240.5,5.850232966489237,8.711410816835214
Santa Fe,"Pichincha, Rosario",3,373.90909090909093,6.3081680105521825,8.711410816835214
Santa Fe,"Pichincha, Rosario",4,260.0,3.466666666666667,8.711410816835214
Santa Fe,"Pichincha, Rosario",5,900.0,8.18840579710145,8.711410816835214
Zona Norte (GBA),"Pilar Golf, Pilar",5,2200.0,8.225806451612904,12.133321183116772
Zona Norte (GBA),"Pilar Golf, Pilar",4,1966.6666666666667,7.840705319784817,12.133321183116772
Zona Norte (GBA),"Pilar Golf, Pilar",2,700.0,14.583333333333334,12.133321183116772
Zona Norte (GBA),"Pilar del Lago Country Club, Derqui",5,1620.0,7.247573479152426,12.133321183116772
Zona Norte (GBA),"Pilar del Lago Country Club, Derqui",4,866.6666666666666,5.485103132161956,12.133321183116772
Zona Norte (GBA),"Pilar, GBA Norte",4,2023.5294117647059,11.580484061552788,12.133321183116772
Zona Norte (GBA),"Pilar, GBA Norte",9,3000.0,7.5,12.133321183116772
Zona Norte (GBA),"Pilar, GBA Norte",5,1943.75,9.338680926916222,12.133321183116772
Zona Norte (GBA),"Pilar, GBA Norte",6,3580.0,16.40700822413725,12.133321183116772
Zona Norte (GBA),"Pilar, GBA Norte",7,1650.0,5.417403803626714,12.133321183116772
Zona Norte (GBA),"Pilar, GBA Norte",3,880.0,6.8963636363636365,12.133321183116772
