precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
$ 40.000, $ 1.000,sarmiento ,"Centro, Villa Carlos Paz",10,10,1,,,50 años,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,True,,,Cordoba
$ 40.000,,Municipalidad de San Javier y Yacanto,"San Javier, Córdoba",50,25,1,1,1,A estrenar,,,Muy luminoso,1,1,,,,True,,True,,True,True,,,,,,,,True,,,,True,,,,,,,,True,True,,,,True,,,,,,True,,Cordoba
$ 40.000,,Deán Funes 381,"Córdoba, Córdoba",21,21,2,1,,50 años,,,Muy luminoso,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,True,,,Cordoba
$ 40.000, $ 8.000,Independencia 369,"Centro, Córdoba",8,8,,,,20 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
USD 17.500, $ 22.000,Av Colón 184,"Centro, Córdoba",16,16,2,,,40 años,,,Muy luminoso,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,True,,,,,,,,,,,Cordoba
$ 42.000, $ 980,Boulevard Los Andes al 700,"Cofico, Córdoba",35,15,,,,10 años,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 42.500,,Marcelo T. de Alvear al 690,"Güemes, Córdoba",15,15,,,,A estrenar,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 42.500,,Marcelo T. de Alvear al 690,"Güemes, Córdoba",15,15,,,,A estrenar,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 45.000,,Chacabuco  100,"Centro, Córdoba",6,6,,,,30 años,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 45.000, $ 20.000,General Paz 120,"Centro, Córdoba",25,25,3,,,30 años,,,Muy luminoso,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,True,,,,,,,,True,,,Cordoba
$ 45.000, $ 40.000,Dean Funes 52,"Centro, Córdoba",30,30,2,,,30 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 45.000,,Bv.San Juan 85,"Nueva Córdoba, Córdoba",45,40,3,1,1,20 años,,,,,,,True,,True,,,,,,True,,True,True,,,,,True,True,,True,,,,,,,,,,,,,True,,True,,,,True,,Cordoba
$ 45.000,,Belgrano al 144,"Centro, Córdoba",30,30,1,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 45.000,,Av.Emilio Olmos 138,"Centro, Córdoba",,12,,,,38 años,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,Cordoba
$ 45.000,,Independencia 809,"Nueva Córdoba, Córdoba",100,48,2,1,1,4 años,,,,,,,True,,True,,True,,True,,True,,True,,,,,True,True,True,,True,,True,,,,,,,,,,,,,,,,,True,,Cordoba
$ 45.000,,Jujuy y bedoya Córdoba Córdoba Argentina.,"Córdoba, Córdoba",12,12,,,,3 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 45.000,,Ballesta al 1400,"Cosquín, Córdoba",1200,40,2,1,1,A estrenar,,,Muy luminoso,1,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,True,,Cordoba
$ 45.000, $ 10.000,Bv Chacabuco al 100,"Centro, Córdoba",20,20,,,,26 años,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 45.000,,San Jeronimo 241,"Centro, Córdoba",,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 45.000,,Belgrano 166,"Centro, Villa Carlos Paz",15,15,,,,7 años,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Cordoba
$ 45.000, $ 15.000,Jujuy 1452,"Córdoba, Córdoba",15,15,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 45.000,,Angelo de Peredo ,"Güemes, Córdoba",1,1,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 46.000,,25 de Mayo 717,"Santa Rosa de Calamuchita, Córdoba",250,,5,1,2,A estrenar,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 47.000,,COLONIA TIROLESA,"Colonia Tirolesa, Córdoba",300,200,,,,5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 48.000, $ 10.000,Santa Rosa 116,"Nueva Córdoba, Córdoba",35,35,1,1,,25 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
